1.0,122761444.txt,"""Henry Mayhew interviews """"""""educated"""""""" costermongers who read fiction aloud to groups of costermongers in the courts they inhabit; long account of the comments made by illiterate costermongers when cheap serials are read to them, comments on the story lines they like, characters and illustrations; reading of G.W.M. Reynolds's """"""""Mysteries"""""""" and Edward Lloyd's penny bloods""",54,,								The Natural History Prose Writings
1.0,247344206.txt,"""we set out on an enquiring expedition, first to yr pastry cook's, where I got a dictionary, and found my words'""",21,,				A Spirited Yorkshirewoman
1.0,28124169.txt,"""At night fell to reading in the """"""""Church History"""""""" of Fullers, and perticularly Cranmers letter to Queen Elizabeth, which pleases me mightly for his zeal, obedience and boldness in a cause of reilgion.'""",33,,				A Spirited Yorkshirewoman
1.0,1708559978.txt,"""Byron to John Murray, 7 June 1820: '[Goethe's] Faust I never read -- for I don't know German -- but Matthew Monk Lewis in 1816 at Coligny translated most of it to me viva voce ...'""",36,,				A Spirited Yorkshirewoman
1.0,829153173.txt,"""S. reads the Case is Altered of B.[en] Jonson aloud in the evening'.""",13,,				Memorials of a Consecrated Life
1.0,1837273399.txt,"""Byron to John Murray, 25 March 1818: 'Rose's Animali I never saw till a few days ago ...'""",18,,				Memorials of a Consecrated Life
1.0,1557531270.txt,"""I read in the evening the """"""""Mysteries of Udolpho"""""""" which Lucy sent me'.""",13,,				Memorials of a Consecrated Life
1.0,1292351125.txt,"""I have been reading your father's letters to William which he has kept... What a blessing science was to him through all his anxieties and his bad health.'""",28,,				The Diaries of Anne Lister 1791-1840
1.0,1388803170.txt,"""Of Pope's Rape of the Lock, Macaulay says: """"""""Admirable indeed! The fight towards the beginning of the last book is very extravagant and foolish.  It is the blemish of a poem which, but for this blemish, would be as near perfection in its own class as any work in the world."""""""" '""",52,,A Diary of the Great War
1.0,1433530772.txt,"""Monday September [...] 26th. [...] Read the story of the Basket Woman to Johnny.'""",14,,A London Family 1870-1900
1.0,32106622.txt,"""[Annotation]: Beside the printed words 'Just Publish'd', Peter Cunningham has added '(1744)' and [? - semi-legible - 'To  Night 6' followed by [legible] '& Night-Thoughts'.""",25,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,45241293.txt,"""[from a letter from Mary Ward to her father] the more I read and think over the New Testament the more impossible it seems to me to accept what is ordinarily called the scheme of Christianity'.""",36,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,1893896056.txt,"""and so I left them with him and went with Mr Moore to Grayes Inne to his chamber, and there he showed me his old Cambdens """"""""Brittannia"""""""", which I intended to buy of him and so took it away with me and left it at St Pauls churchyard to be bound'""",51,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,335162724.txt,"""At the time of her death I had read only part of """"""""South Riding"""""""", which was to bring her back to me, and I found no reason to change the words which I had written in my notebook as she lay dying.'""",42,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,2133032205.txt,"""[at Christmas, Easter and on other holidays, he] 'would be at Work or Study, whilst my Fellow-servants were abroad taking their Pleasure. I was then upon Astrolgy [sic], a Science too rashly decried by some' [he then discusses the merits of Astrology at length, but not mentioning any specific texts]""",50,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,375984490.txt,""" 'We were shocked and saddened to read in the newspapers of Lieutenant-Colonel H.T.Morshead's tragic death in Burma. The association of mountaineering in the past and mountaineering in the present is a very real one.' """,36,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,277341046.txt,"""?Excepting """"""""Pilgrim?s Progress"""""""", """"""""Gulliver?s Travels"""""""" and the """"""""Arabian Nights"""""""", I saw and read none of the books which entrance young minds. The religious meaning of the first, the satirical meaning of the second, and the doubtful meaning of the third were, of course, not understood. The story was the great thing ? the travels of Christian, the troubles of Gulliver, the adventures of Aladdin??""",64,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,2023642821.txt,"""Harriet Martineau, on her research for a story to be set in Ceylon: 'I gathered what I could from books, but really feared being obliged to give up a singularly good illustrative scene for want of the commonest facts concerning the social life of the Cingalese.  I found scarcely anything even in Maria Graham and Heber.  At this precise time, a friend happened to bring to my lodging [...] Sir Alexander Johnstone, who had just returned from governing Ceylon [...] Before we had known one another half an hour, I confided to him my difficulty.  He started of [...] and was soon at the door again, with his carriage full of books, prints and other illustrations [...] Among the volumes he left with me was a Columbo almanack, which furnished me with names, notices of customs, and other valuable matters.'""",140,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,1933726730.txt,"""I kept my hours conscientiously, but when I had no work to do I read continuously. I read parts of """"""""The Times"""""""", the """"""""Standard"""""""" and the """"""""Morning Post"""""""" ever day. The theatrical and policitcal news interested me more than anything else. The study was lined with book shelves, and besides all the classical writers there was a large section filled with the works of French dramatists. I read several plays by Marivaux, and found, to my astonishment, that a serial I had read in the """"""""Girls' Own Paper"""""""" had its origin in one of his plays. Encouraged by this, I wrote a play which also derived from a play by Marivaux.'""",111,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,1905600974.txt,"""[Macaulay's marginalia at the end of Julius Caesar] """"""""The last scenes are huddled up, and affect me less than Plutarch's narrative.  But the working up of Brutus by Cassius, the meeting of the conspirators, the stirring of the mob by Antony, and (above all,) the dispute and reconciliation of the two generals, are things far beyond the reach of any other poet that ever lived.""""""""""",65,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,2045063586.txt,"""[Pilkington reproduces her poem 'The Petition of the Birds', written for her fiance] This little poetical Essay met with more Applause than it really merited, on Account of my Youth, and was extremely acceptable to Mr [italics] Pilkington [end italics], who with the Raptures of an enamour'd Bridegroom, read it to every Person whom he thought possesst of Taste or Genius'.""",61,,Alexander Pope and his Eighteenth-Century Women Readers
1.0,1058170530.txt,"""On this journey [to the Western Pyrenees] he took Balzac's novels with him, especially delighting in Le pere Goriot and Eugenie Grandet.'""",22,,Alfred Lord Tennyson: A Memoir by His Son
1.0,124435369.txt,"""Mary Berry, Journal, 26 February 1812: 'The morning at Devonshire House, where I found the Duke in his library with the Marquis Douglas and George Neville, who were looking over his beautiful books.'""",33,,Alfred Lord Tennyson: A Memoir by His Son
1.0,1723486702.txt,"""read man as he is - Hogg comes and reads Rokeby to me'.""",13,,Antonia White. Diaries 1926-1957
1.0,1515668514.txt,"""The Mag has come; the only thing I liked was your Japanese.'""",12,,Antonia White. Diaries 1926-1957
1.0,1304430165.txt,"""I am afraid I never told you that I did not mind your reading Jane Eyre'.""",16,,Antonia White. Diaries 1926-1957
1.0,1625069618.txt,"""Sunday April 4th. [...] <Finish Lettres de Madame de Pompadour>'.""",10,,Arnold Bennett
1.0,2056365119.txt,"""Begin the Defence of Poesy by Sir P. Sidney.'""",9,,Arnold Bennett
1.0,1827570849.txt,"""From 8.30 to 9.10 walked on the terrace, occasionally reading Young's Night Thoughts. Coffee at 9.10.""",16,,Arnold Bennett
1.0,233294772.txt,"""And by and by to Sir W. Batten, and there he and I and J. Mennes and W. Penn did read and sign with great liking'""",26,,Arnold Bennett
1.0,1512288905.txt,"""Jefferson reads Don Quixote - C. reads Gibbon - S. finishes the 17th canto of Orlando Furioso - Read Voltaire's Essay on Nations (203)'.""",24,,Arnold Bennett
1.0,392766455.txt,"""Dorothy Wordsworth's Grasmere Journal, Tuesday 2 March 1802: 'After dinner I read German, and a little before dinner Wm. also read.'""",21,,Arnold Bennett
1.0,1736494668.txt,"""Henry James, in 1 November 1906 letter to Joseph Conrad, writes of having just read and admired """"""""The Mirror of the Sea"""""""".""",22,,Arnold Bennett
1.0,1392267231.txt,"""In a letter to Mrs Herzog he says: """"""""Wells's new novel, Marriage, of which I have just read the proofs, contains more intimate conveyances of the atmosphere of married life than anybody has ever achieved before, I am rather annoyed as I am about to try and get the same intimacy in my Clayhanger-Hilda book, entitled These Twain.'""",58,,Arnold Bennett
1.0,1478470140.txt,"""Never did any poor creature labour with morediligence than I did to obtain the most accurate knowledge of the language. I succeeded, read all the Roman classics, and fast as I finished one author, I found some friend willing to lend me another.""",43,,Arnold Bennett
