1,6.667111140742716E-5,-RRB[N]
0,0.0,-rrb[N]
0,0.0,/italics[J]
0,0.0,/italics[V]
0,0.0,a-clock[N]
0,0.0,aback[R]
2,1.3334222281485432E-4,abandon[V]
0,0.0,abandonment[N]
0,0.0,abbandonata[N]
0,0.0,abbe[N]
1,6.667111140742716E-5,abbey[N]
0,0.0,abbisso[N]
0,0.0,abdella[N]
1,6.667111140742716E-5,abdicate[V]
0,0.0,abelard[V]
1,6.667111140742716E-5,abeyance[N]
1,6.667111140742716E-5,abhorrence[N]
0,0.0,abhorrent[J]
0,0.0,abide[V]
0,0.0,abiding-place[N]
4,2.6668444562970864E-4,ability[N]
0,0.0,able-bodied[J]
16,0.0010667377825188346,able[J]
0,0.0,ably[R]
0,0.0,abnormal[J]
3,2.000133342222815E-4,abode[N]
0,0.0,abominable[J]
0,0.0,abomination[N]
3,2.000133342222815E-4,abound[V]
0,0.0,above-named[J]
1,6.667111140742716E-5,abraham[N]
0,0.0,abridged[J]
1,6.667111140742716E-5,abroad[R]
0,0.0,abruptly[R]
1,6.667111140742716E-5,abruzzo[N]
1,6.667111140742716E-5,absence[N]
2,1.3334222281485432E-4,absent[J]
1,6.667111140742716E-5,absolute[J]
4,2.6668444562970864E-4,absolutely[R]
3,2.000133342222815E-4,absorb[V]
0,0.0,absorption[N]
3,2.000133342222815E-4,abstain[V]
0,0.0,abstract[J]
0,0.0,abstruse[J]
0,0.0,abstruser[N]
0,0.0,absurd[J]
0,0.0,absurdity[N]
0,0.0,absurdly[R]
0,0.0,abudah[N]
6,4.00026668444563E-4,abundance[N]
2,1.3334222281485432E-4,abundant[J]
1,6.667111140742716E-5,abuse[N]
1,6.667111140742716E-5,abuse[V]
0,0.0,abused[J]
1,6.667111140742716E-5,abusive[J]
0,0.0,abydo[N]
0,0.0,abyss[N]
0,0.0,abyssinia[N]
0,0.0,academic[J]
0,0.0,academie[N]
0,0.0,academy[N]
0,0.0,accede[V]
5,3.333555570371358E-4,accent[N]
13,8.667244482965531E-4,accept[V]
3,2.000133342222815E-4,acceptable[J]
1,6.667111140742716E-5,acceptance[N]
0,0.0,acceptation[N]
0,0.0,access[N]
1,6.667111140742716E-5,accessible[J]
2,1.3334222281485432E-4,accession[N]
4,2.6668444562970864E-4,accident[N]
2,1.3334222281485432E-4,accidental[J]
2,1.3334222281485432E-4,accidentally[R]
1,6.667111140742716E-5,accidently[R]
0,0.0,acclaimed[J]
1,6.667111140742716E-5,accom[N]
1,6.667111140742716E-5,accommodate[V]
1,6.667111140742716E-5,accommodation[N]
0,0.0,accompaniment[N]
0,0.0,accompanist[N]
9,6.000400026668444E-4,accompany[V]
5,3.333555570371358E-4,accomplish[V]
2,1.3334222281485432E-4,accomplished[J]
2,1.3334222281485432E-4,accomplishment[N]
